Row ID	Order ID	Order Date	Ship Date	Ship Mode	Customer ID	Customer Name	Segment	Country	City	State	Postal Code	Region	Product ID	Category	Sub-Category	Product Name	Sales	Quantity	Discount	Profit
1971	CA-2017-140242	05-06-2017	05-11-2017	Standard Class	ML-17755	Max Ludwig	Home Office	United States	Chicago	Illinois	60623	Central	OFF-AR-10004752	Office Supplies	Art	Blackstonian Pencils	6.408	3	0.2	0.6408
1972	CA-2017-140242	05-06-2017	05-11-2017	Standard Class	ML-17755	Max Ludwig	Home Office	United States	Chicago	Illinois	60623	Central	TEC-AC-10004659	Technology	Accessories	Imation Secure+ Hardware Encrypted USB 2.0 Flash Drive; 16GB	408.744	7	0.2	76.6395
2781	CA-2017-167668	05-06-2017	05-08-2017	First Class	TC-21295	Toby Carlisle	Consumer	United States	New York City	New York	10035	East	OFF-LA-10004544	Office Supplies	Labels	Avery 505	59.2	4	0	29.6
4127	CA-2017-156769	05-06-2017	05-09-2017	First Class	GZ-14470	Gary Zandusky	Consumer	United States	Arlington	Virginia	22204	South	OFF-AR-10003179	Office Supplies	Art	Dixon Ticonderoga Core-Lock Colored Pencils	54.66	6	0	18.0378
4669	US-2017-133200	05-06-2017	05-11-2017	Standard Class	DB-13555	Dorothy Badders	Corporate	United States	Fort Worth	Texas	76106	Central	OFF-BI-10002827	Office Supplies	Binders	Avery Durable Poly Binders	11.06	10	0.8	-18.802
4670	US-2017-133200	05-06-2017	05-11-2017	Standard Class	DB-13555	Dorothy Badders	Corporate	United States	Fort Worth	Texas	76106	Central	FUR-BO-10001601	Furniture	Bookcases	Sauder Mission Library with Doors, Fruitwood Finish	623.4648	7	0.32	-119.1918
4671	US-2017-133200	05-06-2017	05-11-2017	Standard Class	DB-13555	Dorothy Badders	Corporate	United States	Fort Worth	Texas	76106	Central	OFF-ST-10001932	Office Supplies	Storage	Fellowes Staxonsteel Drawer Files	772.68	5	0.2	-57.951
6635	CA-2017-144498	05-06-2017	05-06-2017	Same Day	MB-18085	Mick Brown	Consumer	United States	Charlotte	North Carolina	28205	South	OFF-BI-10003982	Office Supplies	Binders	Wilson Jones Century Plastic Molded Ring Binders	68.541	11	0.7	-52.5481
6636	CA-2017-144498	05-06-2017	05-06-2017	Same Day	MB-18085	Mick Brown	Consumer	United States	Charlotte	North Carolina	28205	South	TEC-PH-10004977	Technology	Phones	GE 30524EE4	627.168	4	0.2	70.5564
6637	CA-2017-144498	05-06-2017	05-06-2017	Same Day	MB-18085	Mick Brown	Consumer	United States	Charlotte	North Carolina	28205	South	OFF-LA-10003510	Office Supplies	Labels	Avery 4027 File Folder Labels for Dot Matrix Printers, 5000 Labels per Box, White	122.12	5	0.2	39.689
7676	CA-2017-133487	05-06-2017	05-09-2017	Second Class	TS-21655	Trudy Schmidt	Consumer	United States	Rancho Cucamonga	California	91730	West	OFF-AP-10001271	Office Supplies	Appliances	Eureka The Boss Cordless Rechargeable Stick Vac	152.94	3	0	41.2938
8442	CA-2017-145779	05-06-2017	05-10-2017	Standard Class	DB-13615	Doug Bickford	Consumer	United States	Tucson	Arizona	85705	West	OFF-PA-10002254	Office Supplies	Paper	Xerox 1883	84.416	4	0.2	27.4352
9923	US-2017-162124	05-06-2017	05-10-2017	Standard Class	JF-15490	Jeremy Farry	Consumer	United States	Chicago	Illinois	60653	Central	TEC-AC-10001990	Technology	Accessories	Kensington Orbit Wireless Mobile Trackball for PC and Mac	191.968	4	0.2	28.7952
